Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,GW,FirstName
Kortney Hause,0.011601341,DEF,Aston Villa,1,Manchester City,4.4,TRUE,2021,0,32,Hause
Niels Nkounkou,0.009520946,DEF,Everton,1,Tottenham Hotspur,4,TRUE,2021,0,32,Nkounkou
Bjorn Engels,0.009520946,DEF,Aston Villa,1,Manchester City,4.4,TRUE,2021,0,32,Engels
Bernardo Fernandes da Silva Junior,0.008713444,DEF,Brighton and Hove Albion,0,Chelsea,3.9,FALSE,2021,0,32,Bernardo
Alex Nicolao Telles,0.00585178,DEF,Manchester United,1,Burnley,5.3,TRUE,2021,0,32,Telles
Cyrus Christie,0.005424547,DEF,Fulham,0,Arsenal,4.2,FALSE,2021,0,32,Christie
Michael Hector,0.005424547,DEF,Fulham,1,Arsenal,4.1,FALSE,2021,0,32,Hector
Jack Robinson,0.005424547,DEF,Sheffield United,0,Wolverhampton Wanderers,4.2,FALSE,2021,0,32,Jack Robinson
Oskar Buur,0.001736399,DEF,Wolverhampton Wanderers,0,Sheffield United,3.9,TRUE,2021,0,32,Buur
Jarrad Branthwaite,0.001736399,DEF,Everton,0,Tottenham Hotspur,3.9,TRUE,2021,0,32,Branthwaite
Fikayo Tomori,0.001736399,DEF,Chelsea,0,Brighton and Hove Albion,4.7,TRUE,2021,0,32,Tomori
Juan Foyth,0.001736399,DEF,Tottenham Hotspur,0,Southampton,4.3,TRUE,2021,0,32,Foyth
Konstantinos Tsimikas,0.001075095,DEF,Liverpool,1,Leeds,4.9,FALSE,2021,0,32,Tsimikas
Kelland Watts,0.00105611,DEF,Newcastle United,0,West Ham United,3.9,TRUE,2021,0,32,Watts
Leif Davis,0.00105611,DEF,Leeds,1,Liverpool,3.8,TRUE,2021,0,32,Davis
Yan Valery,0.000204914,DEF,Southampton,0,Tottenham Hotspur,4.7,FALSE,2021,0,32,Valery
FrÃ©dÃ©ric Guilbert,-0.000343996,DEF,Aston Villa,0,Manchester City,4.3,TRUE,2021,0,32,Guilbert
Charlie Cresswell,-0.000343996,DEF,Leeds,1,Liverpool,4,TRUE,2021,0,32,Cresswell
James Bree,-0.000343996,DEF,Aston Villa,0,Manchester City,4.5,TRUE,2021,0,32,Bree
William Saliba,-0.000343996,DEF,Arsenal,0,Fulham,4,TRUE,2021,0,32,Saliba
HÃ©ctor BellerÃ­n,-0.000343996,DEF,Arsenal,1,Fulham,5,TRUE,2021,0,32,BellerÃ­n
Kyle John,-0.000343996,DEF,Everton,1,Tottenham Hotspur,4,TRUE,2021,0,32,John
Ryan Astley,-0.000343996,DEF,Everton,1,Tottenham Hotspur,4,TRUE,2021,0,32,Astley
Reece Welch,-0.000343996,DEF,Everton,1,Tottenham Hotspur,4,TRUE,2021,0,32,Welch
Cameron Carter-Vickers,-0.000343996,DEF,Tottenham Hotspur,0,Southampton,3.9,TRUE,2021,0,32,Carter-Vickers
Barry Douglas,-0.000343996,DEF,Leeds,0,Liverpool,3.8,TRUE,2021,0,32,Douglas
Oliver Casey,-0.000343996,DEF,Leeds,1,Liverpool,3.8,TRUE,2021,0,32,Casey
Ã‡aglar SÃ¶yÃ¼ncÃ¼,-0.000343996,DEF,Leicester City,0,West Bromwich Albion,5.3,TRUE,2021,0,32,SÃ¶yÃ¼ncÃ¼
Gaetano Berardi,-0.000343996,DEF,Leeds,1,Liverpool,4,TRUE,2021,0,32,Berardi
Federico FernÃ¡ndez,-0.000343996,DEF,Newcastle United,1,West Ham United,4.7,TRUE,2021,0,32,FernÃ¡ndez
Hugo Bueno,-0.000343996,DEF,Wolverhampton Wanderers,1,Sheffield United,4,TRUE,2021,0,32,Bueno
Christian Marques,-0.000343996,DEF,Wolverhampton Wanderers,1,Sheffield United,3.9,TRUE,2021,0,32,Marques
Lewis Richards,-0.000343996,DEF,Wolverhampton Wanderers,1,Sheffield United,4,TRUE,2021,0,32,Richards
Fernando MarÃ§al,-0.000343996,DEF,Wolverhampton Wanderers,0.25,Sheffield United,4.7,TRUE,2021,0,32,MarÃ§al
RÃºben GonÃ§alo Silva Nascimento Vinagre,-0.000343996,DEF,Wolverhampton Wanderers,0,Sheffield United,4.1,TRUE,2021,0,32,Vinagre
Filip Benkovic,-0.000343996,DEF,Leicester City,0,West Bromwich Albion,4.3,TRUE,2021,0,32,Benkovic
Fabian SchÃ¤r,-0.000343996,DEF,Newcastle United,0,West Ham United,4.8,TRUE,2021,0,32,SchÃ¤r
Teden Mengi,-0.000343996,DEF,Manchester United,0,Burnley,3.9,TRUE,2021,0,32,Mengi
JosÃ© Diogo Dalot Teixeira,-0.000343996,DEF,Manchester United,0,Burnley,4.8,TRUE,2021,0,32,Dalot
Vontae Daley-Campbell,-0.000343996,DEF,Leicester City,1,West Bromwich Albion,4,TRUE,2021,0,32,Daley-Campbell
Nigel Lonwijk,-0.000343996,DEF,Wolverhampton Wanderers,1,Sheffield United,4,TRUE,2021,0,32,Lonwijk
Max Lowe,-0.001021473,DEF,Sheffield United,1,Wolverhampton Wanderers,4.2,FALSE,2021,0,32,Lowe
Juan Foyth,-0.002360002,DEF,Tottenham Hotspur,0,Everton,4.3,FALSE,2021,0,32,Foyth
Jimmy Dunne,-0.002360002,DEF,Burnley,1,Manchester United,3.8,FALSE,2021,0,32,Dunne
Tariq Lamptey,-0.002360002,DEF,Brighton and Hove Albion,0,Chelsea,4.6,FALSE,2021,0,32,Lamptey
Ahmed El-Sayed Hegazy,-0.003040289,DEF,West Bromwich Albion,0,Leicester City,4.1,FALSE,2021,0,32,Hegazi
Richard Nartey,-0.004440395,DEF,Burnley,1,Manchester United,4,FALSE,2021,0,32,Nartey
Bobby Thomas,-0.004440395,DEF,Burnley,0,Manchester United,3.9,FALSE,2021,0,32,Thomas
Anthony Driscoll-Glennon,-0.004440395,DEF,Burnley,1,Manchester United,3.9,FALSE,2021,0,32,Driscoll-Glennon
Jamal Baptiste,-0.004440395,DEF,West Ham United,1,Newcastle United,4,FALSE,2021,0,32,Baptiste
Frederik Alves,-0.004440395,DEF,West Ham United,1,Newcastle United,4,FALSE,2021,0,32,Alves
Kyron Gordon,-0.004440395,DEF,Sheffield United,1,Wolverhampton Wanderers,4,FALSE,2021,0,32,Gordon
Cedric Kipre,-0.004440395,DEF,West Bromwich Albion,0,Leicester City,4.3,FALSE,2021,0,32,Kipre
Cameron Carter-Vickers,-0.004440395,DEF,Tottenham Hotspur,0,Everton,3.9,FALSE,2021,0,32,Carter-Vickers
Michal Karbownik,-0.004440395,DEF,Brighton and Hove Albion,1,Chelsea,4.5,FALSE,2021,0,32,Karbownik
Matthew Clarke,-0.004440395,DEF,Brighton and Hove Albion,0,Chelsea,4.4,FALSE,2021,0,32,Clarke
MartÃ­n Montoya,-0.004440395,DEF,Brighton and Hove Albion,0,Chelsea,4.5,FALSE,2021,0,32,Montoya
Taylor Harwood-Bellis,-0.004440395,DEF,Manchester City,0,Aston Villa,4,FALSE,2021,0,32,Harwood-Bellis
Luke Mbete,-0.004440395,DEF,Manchester City,1,Aston Villa,4,FALSE,2021,0,32,Mbete
NicolÃ¡s Otamendi,-0.004440395,DEF,Manchester City,0,Aston Villa,4.9,FALSE,2021,0,32,Otamendi
Zeze Steven Sessegnon,-0.004440395,DEF,Fulham,0,Arsenal,4.3,FALSE,2021,0,32,Sessegnon
Shane Duffy,-0.009759504,DEF,Brighton and Hove Albion,0,Chelsea,4.3,FALSE,2021,0,32,Duffy
Allan Tchaptchet,-0.014229204,DEF,Southampton,1,Tottenham Hotspur,4,FALSE,2021,0,32,Tchaptchet
Jake Vokins,-0.014229204,DEF,Southampton,0,Tottenham Hotspur,3.9,FALSE,2021,0,32,Vokins
Kayne Ramsay,-0.014229204,DEF,Southampton,1,Tottenham Hotspur,4,FALSE,2021,0,32,Ramsay
Lee Peltier,-0.016876258,DEF,West Bromwich Albion,1,Leicester City,3.9,FALSE,2021,0,32,Peltier
Shkodran Mustafi,-0.022310823,DEF,Arsenal,0,Fulham,5,TRUE,2021,0,32,Mustafi
Eric Bailly,-0.031145994,DEF,Manchester United,0.75,Burnley,4.8,TRUE,2021,0,32,Bailly
Ryan Fredericks,-0.032202393,DEF,West Ham United,1,Newcastle United,4.2,FALSE,2021,0,32,Fredericks
Axel Tuanzebe,-0.034500983,DEF,Manchester United,1,Burnley,4.1,TRUE,2021,0,32,Tuanzebe
Joel Matip,-0.047750335,DEF,Liverpool,0,Leeds,5.4,FALSE,2021,0,32,Matip
Ben Davies,-0.05012626,DEF,Tottenham Hotspur,0,Southampton,4.5,TRUE,2021,0,32,Davies
Jonathan Castro Otto,-0.056372132,DEF,Wolverhampton Wanderers,0,Sheffield United,5.4,TRUE,2021,0,32,Jonny
Yerry Mina,-0.08371106,DEF,Everton,0,Tottenham Hotspur,5.5,TRUE,2021,0,32,Mina
Brandon Williams,-0.08968122,DEF,Manchester United,1,Burnley,4.2,TRUE,2021,0.25,32,Williams
Max Kilman,-0.09687066,DEF,Wolverhampton Wanderers,1,Sheffield United,3.9,TRUE,2021,0,32,Kilman
James Justin,-0.097275615,DEF,Leicester City,0,West Bromwich Albion,4.8,TRUE,2021,0,32,Justin
Liam Cooper,-0.10825014,DEF,Leeds,0,Liverpool,4.3,TRUE,2021,0,32,Cooper
Jamaal Lascelles,-0.17104769,DEF,Newcastle United,0,West Ham United,4.2,TRUE,2021,0,32,Lascelles
Bruno Miguel Borges Fernandes,8.820005,MID,Manchester United,1,Burnley,11.6,TRUE,2021,89.75,32,Fernandes
Heung-Min Son,8.413389,MID,Tottenham Hotspur,1,Southampton,9.4,TRUE,2021,60.75,32,Son
Heung-Min Son,8.0976715,MID,Tottenham Hotspur,1,Everton,9.4,FALSE,2021,60.75,32,Son
Paul Pogba,5.359929,MID,Manchester United,1,Burnley,7.6,TRUE,2021,86.5,32,Pogba
James Ward-Prowse,5.251118,MID,Southampton,1,Tottenham Hotspur,5.9,FALSE,2021,90,32,Ward-Prowse
Lucas Rodrigues Moura da Silva,4.776245,MID,Tottenham Hotspur,1,Southampton,6.6,TRUE,2021,82.8,32,Lucas Moura
Matt Phillips,4.742559,MID,West Bromwich Albion,1,Leicester City,5.1,FALSE,2021,82.5,32,Phillips
Johann Berg Gudmundsson,4.423839,MID,Burnley,1,Manchester United,5.4,FALSE,2021,81.33333333,32,Gudmundsson
Raphael Dias Belloli,3.9311976,MID,Leeds,0.75,Liverpool,5.6,TRUE,2021,67.5,32,Raphinha
Theo Walcott,3.9259033,MID,Southampton,1,Tottenham Hotspur,5.8,FALSE,2021,75,32,Walcott
Marcus Rashford,3.906638,MID,Manchester United,1,Burnley,9.5,TRUE,2021,71.5,32,Rashford
Jorge Luiz Frello Filho,3.759804,MID,Chelsea,1,Brighton and Hove Albion,4.7,TRUE,2021,77.75,32,Jorginho
Mohamed Salah,3.7177393,MID,Liverpool,1,Leeds,12.5,FALSE,2021,90,32,Salah
Matheus Pereira,3.7043612,MID,West Bromwich Albion,1,Leicester City,5.4,FALSE,2021,83,32,Pereira
Adam Lallana,3.6781614,MID,Brighton and Hove Albion,1,Chelsea,6.2,FALSE,2021,89.4,32,Lallana
Thomas Partey,3.6632347,MID,Arsenal,1,Fulham,4.9,TRUE,2021,87.8,32,Partey
Jesse Lingard,3.6537693,MID,West Ham United,1,Newcastle United,6.5,FALSE,2021,89,32,Lingard
Gareth Bale,3.6398394,MID,Tottenham Hotspur,1,Everton,9.2,FALSE,2021,27,32,Bale
Mario Lemina,3.5801454,MID,Fulham,1,Arsenal,4.5,FALSE,2021,84.8,32,Lemina
James RodrÃ­guez,3.560259,MID,Everton,1,Tottenham Hotspur,7.7,TRUE,2021,84,32,RodrÃ­guez
Lucas Rodrigues Moura da Silva,3.529013,MID,Tottenham Hotspur,1,Everton,6.6,FALSE,2021,82.8,32,Lucas Moura
Fabio Henrique Tavares,3.5080557,MID,Liverpool,1,Leeds,5.4,FALSE,2021,71,32,Fabinho
Jack Harrison,3.4425611,MID,Leeds,1,Liverpool,5.4,TRUE,2021,72,32,Harrison
Douglas Luiz Soares de Paulo,3.4242246,MID,Aston Villa,1,Manchester City,4.8,TRUE,2021,86.6,32,Douglas Luiz
Youri Tielemans,3.402981,MID,Leicester City,1,West Bromwich Albion,6.4,TRUE,2021,90,32,Tielemans
Daniel Castelo Podence,3.400285,MID,Wolverhampton Wanderers,1,Sheffield United,5.3,TRUE,2021,73,32,Podence
Wilfred Ndidi,3.390472,MID,Leicester City,1,West Bromwich Albion,4.8,TRUE,2021,88,32,Ndidi
Stuart Armstrong,3.3839817,MID,Southampton,1,Tottenham Hotspur,5.5,FALSE,2021,83,32,Armstrong
John McGinn,3.3756933,MID,Aston Villa,1,Manchester City,5.5,TRUE,2021,90,32,McGinn
Giovani Lo Celso,3.342631,MID,Tottenham Hotspur,1,Everton,6.9,FALSE,2021,70.66666667,32,Lo Celso
John Lundstram,3.3422117,MID,Sheffield United,1,Wolverhampton Wanderers,4.9,FALSE,2021,90,32,Lundstram
Tomas Soucek,3.28778,MID,West Ham United,1,Newcastle United,5.3,FALSE,2021,90,32,Soucek
James Milner,3.245571,MID,Liverpool,1,Leeds,5.3,FALSE,2021,69.5,32,Milner
Pierre-Emile HÃ¸jbjerg,3.239672,MID,Tottenham Hotspur,1,Southampton,4.9,TRUE,2021,90,32,HÃ¸jbjerg
Adama TraorÃ©,3.239672,MID,Wolverhampton Wanderers,1,Sheffield United,6,TRUE,2021,90,32,TraorÃ©
JoÃ£o Filipe Iria Santos Moutinho,3.239672,MID,Wolverhampton Wanderers,1,Sheffield United,5.1,TRUE,2021,90,32,Moutinho
Miguel AlmirÃ³n,3.239672,MID,Newcastle United,1,West Ham United,5.6,TRUE,2021,90,32,AlmirÃ³n
Tyler Roberts,3.1876807,MID,Leeds,1,Liverpool,4.6,TRUE,2021,76.2,32,Roberts
Leandro Trossard,3.1550887,MID,Brighton and Hove Albion,1,Chelsea,5.7,FALSE,2021,81,32,Trossard
Scott McTominay,3.0998971,MID,Manchester United,1,Burnley,4.9,TRUE,2021,69,32,McTominay
Tanguy Ndombele,3.0980473,MID,Tottenham Hotspur,1,Southampton,5.9,TRUE,2021,61.6,32,Ndombele
Pascal GroÃŸ,3.0914347,MID,Brighton and Hove Albion,1,Chelsea,5.8,FALSE,2021,90,32,GroÃŸ
Dwight McNeil,3.0743232,MID,Burnley,1,Manchester United,5.7,FALSE,2021,90,32,McNeil
Jonjo Shelvey,2.9696681,MID,Newcastle United,1,West Ham United,5.3,TRUE,2021,90,32,Shelvey
Bukayo Saka,2.9169016,MID,Arsenal,1,Fulham,5.1,TRUE,2021,67.66666667,32,Saka
Conor Gallagher,2.9019065,MID,West Bromwich Albion,1,Leicester City,5.5,FALSE,2021,66,32,Gallagher
AndrÃ© Filipe Tavares Gomes,2.8678837,MID,Everton,1,Tottenham Hotspur,5.3,TRUE,2021,65,32,AndrÃ© Gomes
Giovani Lo Celso,2.8677297,MID,Tottenham Hotspur,1,Southampton,6.9,TRUE,2021,70.66666667,32,Lo Celso
Tanguy Ndombele,2.8303025,MID,Tottenham Hotspur,1,Everton,5.9,FALSE,2021,61.6,32,Ndombele
Pierre-Emile HÃ¸jbjerg,2.8090901,MID,Tottenham Hotspur,1,Everton,4.9,FALSE,2021,90,32,HÃ¸jbjerg
Willian Borges Da Silva,2.76445,MID,Arsenal,1,Fulham,7.5,TRUE,2021,34,32,Willian
Ibrahima Diallo,2.7534816,MID,Southampton,1,Tottenham Hotspur,4.5,FALSE,2021,90,32,Diallo
Tom Davies,2.752628,MID,Everton,1,Tottenham Hotspur,5.2,TRUE,2021,76,32,Davies
Frederico Rodrigues de Paula Santos,2.7431068,MID,Manchester United,1,Burnley,5.3,TRUE,2021,90,32,Fred
Ashley Westwood,2.633549,MID,Burnley,1,Manchester United,5.3,FALSE,2021,90,32,Westwood
Pierre-Emerick Aubameyang,2.600551,MID,Arsenal,0.75,Fulham,11.3,TRUE,2021,36.9,32,Aubameyang
Kai Havertz,2.579557,MID,Chelsea,1,Brighton and Hove Albion,8.2,TRUE,2021,72,32,Havertz
Kalvin Phillips,2.5328858,MID,Leeds,1,Liverpool,4.9,TRUE,2021,90,32,Phillips
Ivan Ricardo Neves Abreu Cavaleiro,2.511312,MID,Fulham,1,Arsenal,5.3,FALSE,2021,60.4,32,Cavaleiro
Diogo Jota,2.4955215,MID,Liverpool,1,Leeds,7,FALSE,2021,72.5,32,Jota
Jarrod Bowen,2.4858136,MID,West Ham United,1,Newcastle United,5.9,FALSE,2021,63.4,32,Bowen
Josh Brownhill,2.4710479,MID,Burnley,1,Manchester United,4.9,FALSE,2021,90,32,Brownhill
Okay Yokuslu,2.4457715,MID,West Bromwich Albion,1,Leicester City,4.5,FALSE,2021,90,32,Yokuslu
Pablo Fornals,2.437979,MID,West Ham United,1,Newcastle United,5.8,FALSE,2021,60,32,Fornals
Yves Bissouma,2.3760476,MID,Brighton and Hove Albion,1,Chelsea,4.4,FALSE,2021,90,32,Bissouma
Gareth Bale,2.2961898,MID,Tottenham Hotspur,1,Southampton,9.2,TRUE,2021,27,32,Bale
Leander Dendoncker,2.2772424,MID,Wolverhampton Wanderers,1,Sheffield United,4.6,TRUE,2021,71,32,Dendoncker
Nathan Redmond,2.21672,MID,Southampton,1,Tottenham Hotspur,6.4,FALSE,2021,61.6,32,Redmond
Mason Mount,2.1251392,MID,Chelsea,1,Brighton and Hove Albion,7.2,TRUE,2021,59.25,32,Mount
Harrison Reed,2.1217718,MID,Fulham,1,Arsenal,4.4,FALSE,2021,81,32,Reed
Granit Xhaka,2.0870314,MID,Arsenal,1,Fulham,5.2,TRUE,2021,68.6,32,Xhaka
Oliver Norwood,2.0751998,MID,Sheffield United,1,Wolverhampton Wanderers,4.5,FALSE,2021,69.25,32,Norwood
John Fleck,1.9758378,MID,Sheffield United,0.75,Wolverhampton Wanderers,5.6,FALSE,2021,67.5,32,Fleck
Allan Marques Loureiro,1.8878145,MID,Everton,1,Tottenham Hotspur,5.2,TRUE,2021,60,32,Allan
Callum Hudson-Odoi,1.7865008,MID,Chelsea,1,Brighton and Hove Albion,5.7,TRUE,2021,37.75,32,Hudson-Odoi
Steven Bergwijn,1.7448412,MID,Tottenham Hotspur,1,Everton,7,FALSE,2021,4.8,32,Bergwijn
Emile Smith Rowe,1.7383741,MID,Arsenal,1,Fulham,4.2,TRUE,2021,30.66666667,32,Smith Rowe
Mason Greenwood,1.7271286,MID,Manchester United,1,Burnley,7,TRUE,2021,41.66666667,32,Greenwood
Anwar El Ghazi,1.7267228,MID,Aston Villa,1,Manchester City,5.2,TRUE,2021,36.4,32,El Ghazi
Bernardo Mota Veiga de Carvalho e Silva,1.7126849,MID,Manchester City,1,Aston Villa,7.4,FALSE,2021,49.2,32,Bernardo Silva
Xherdan Shaqiri,1.681961,MID,Liverpool,1,Leeds,6.4,FALSE,2021,22.75,32,Shaqiri
Hakim Ziyech,1.5975062,MID,Chelsea,1,Brighton and Hove Albion,7.9,TRUE,2021,26.75,32,Ziyech
Gabriel Teodoro Martinelli Silva,1.5745152,MID,Arsenal,1,Fulham,4.9,TRUE,2021,20.8,32,Martinelli
Christian Pulisic,1.5649012,MID,Chelsea,1,Brighton and Hove Albion,8.2,TRUE,2021,50.75,32,Pulisic
Gylfi Sigurdsson,1.5594199,MID,Everton,1,Tottenham Hotspur,6.8,TRUE,2021,54.5,32,Sigurdsson
Takumi Minamino,1.5461264,MID,Southampton,1,Tottenham Hotspur,6,FALSE,2021,21.33333333,32,Minamino
Joseph Willock,1.544503,MID,Newcastle United,1,West Ham United,4.7,TRUE,2021,50.4,32,Willock
Dennis Praet,1.5048312,MID,Leicester City,1,West Bromwich Albion,5.2,TRUE,2021,29,32,Praet
Ferran Torres,1.4910522,MID,Manchester City,1,Aston Villa,6.9,FALSE,2021,44,32,Torres
Erik Lamela,1.4856267,MID,Tottenham Hotspur,1,Southampton,5.7,TRUE,2021,28.5,32,Lamela
James Maddison,1.4821225,MID,Leicester City,1,West Bromwich Albion,7.2,TRUE,2021,9,32,Maddison
HÃ©lder Wander Sousa de Azevedo e Costa,1.4702573,MID,Leeds,1,Liverpool,5,TRUE,2021,32.2,32,Costa
Daniel Ceballos FernÃ¡ndez,1.4702573,MID,Arsenal,1,Fulham,4.7,TRUE,2021,31.4,32,Ceballos
Alex Iwobi,1.4702107,MID,Everton,1,Tottenham Hotspur,5.9,TRUE,2021,48.33333333,32,Iwobi
Marc Albrighton,1.4551059,MID,Leicester City,1,West Bromwich Albion,5.2,TRUE,2021,41,32,Albrighton
Raheem Sterling,1.4216585,MID,Manchester City,1,Aston Villa,11.3,FALSE,2021,41.4,32,Sterling
Erik Lamela,1.3984132,MID,Tottenham Hotspur,1,Everton,5.7,FALSE,2021,28.5,32,Lamela
Jacob Murphy,1.3669862,MID,Newcastle United,1,West Ham United,4.9,TRUE,2021,42.2,32,Murphy
Ryan Fraser,1.346612,MID,Newcastle United,0.25,West Ham United,5.6,TRUE,2021,16.125,32,Fraser
Bamidele Alli,1.3210915,MID,Tottenham Hotspur,1,Everton,7.4,FALSE,2021,5.6,32,Alli
Matt Ritchie,1.3209277,MID,Newcastle United,1,West Ham United,4.9,TRUE,2021,36,32,Ritchie
N'Golo KantÃ©,1.3052934,MID,Chelsea,1,Brighton and Hove Albion,4.9,TRUE,2021,43,32,KantÃ©
Ayoze PÃ©rez,1.3052934,MID,Leicester City,1,West Bromwich Albion,6,TRUE,2021,45,32,PÃ©rez
Moussa Sissoko,1.3032771,MID,Tottenham Hotspur,1,Southampton,4.7,TRUE,2021,18.2,32,Sissoko
Allan Saint-Maximin,1.2912588,MID,Newcastle United,1,West Ham United,5.1,TRUE,2021,33,32,Saint-Maximin
Nicolas PÃ©pÃ©,1.2806793,MID,Arsenal,1,Fulham,7.6,TRUE,2021,52.4,32,PÃ©pÃ©
Martin Ã˜degaard,1.2806793,MID,Arsenal,0.75,Fulham,5.9,TRUE,2021,49.8,32,Ã˜degaard
Bertrand TraorÃ©,1.2806793,MID,Aston Villa,0.75,Manchester City,5.8,TRUE,2021,48.5625,32,TraorÃ©
Jakub Moder,1.2662779,MID,Brighton and Hove Albion,1,Chelsea,5,FALSE,2021,52.8,32,Moder
Jacob Ramsey,1.2619205,MID,Aston Villa,1,Manchester City,4.5,TRUE,2021,17.8,32,Ramsey
Ademola Lookman,1.2443509,MID,Fulham,0.75,Arsenal,4.9,FALSE,2021,57.75,32,Lookman
Daniel James,1.2442064,MID,Manchester United,1,Burnley,6.2,TRUE,2021,49.5,32,James
Ross Barkley,1.2403424,MID,Aston Villa,1,Manchester City,5.8,TRUE,2021,19.8,32,Barkley
Oliver Burke,1.2400048,MID,Sheffield United,1,Wolverhampton Wanderers,4.1,FALSE,2021,37.5,32,Burke
Phil Foden,1.2315736,MID,Manchester City,1,Aston Villa,6,FALSE,2021,25.6,32,Foden
Manuel Lanzini,1.2278854,MID,West Ham United,1,Newcastle United,6.4,FALSE,2021,5.6,32,Lanzini
Jeff Hendrick,1.2099658,MID,Newcastle United,1,West Ham United,4.5,TRUE,2021,20.4,32,Hendrick
SaÃ¯d Benrahma,1.1959058,MID,West Ham United,1,Newcastle United,6,FALSE,2021,39.2,32,Benrahma
AndrÃ©-Frank Zambo Anguissa,1.1959058,MID,Fulham,1,Arsenal,4.5,FALSE,2021,41.4,32,Anguissa
Thiago AlcÃ¡ntara do Nascimento,1.1959058,MID,Liverpool,1,Leeds,5.5,FALSE,2021,44,32,Thiago
Ilkay GÃ¼ndogan,1.1959058,MID,Manchester City,1,Aston Villa,5.9,FALSE,2021,42.4,32,GÃ¼ndogan
Sadio ManÃ©,1.1712917,MID,Liverpool,1,Leeds,11.8,FALSE,2021,55.75,32,ManÃ©
Sidnei Tavares,1.1590389,MID,Leicester City,1,West Bromwich Albion,4.4,TRUE,2021,17.75,32,Tavares
Morgan Sanson,1.1384463,MID,Aston Villa,0.75,Manchester City,5.5,TRUE,2021,33.3,32,Sanson
Morgan Gibbs-White,1.1293949,MID,Wolverhampton Wanderers,1,Sheffield United,4.9,TRUE,2021,5.5,32,Gibbs-White
Bamidele Alli,1.1200926,MID,Tottenham Hotspur,1,Southampton,7.4,TRUE,2021,5.6,32,Alli
Rodrigo Hernandez,1.117489,MID,Manchester City,1,Aston Villa,5.3,FALSE,2021,54,32,Rodrigo
Mateo Kovacic,1.1147401,MID,Chelsea,0.5,Brighton and Hove Albion,5.3,TRUE,2021,31.375,32,Kovacic
Sean Longstaff,1.1097016,MID,Newcastle United,1,West Ham United,4.6,TRUE,2021,38.8,32,Sean Longstaff
Marvelous Nakamba,1.1050512,MID,Aston Villa,1,Manchester City,4.3,TRUE,2021,13,32,Nakamba
Mateusz Klich,1.1035548,MID,Leeds,1,Liverpool,5.2,TRUE,2021,17.25,32,Klich
Naby Keita,1.0968499,MID,Liverpool,1,Leeds,5.2,FALSE,2021,28.25,32,Keita
Alex Oxlade-Chamberlain,1.0938232,MID,Liverpool,1,Leeds,6.3,FALSE,2021,2,32,Chamberlain
Ruben Loftus-Cheek,1.0806072,MID,Fulham,1,Arsenal,5.9,FALSE,2021,51.2,32,Loftus-Cheek
Iliman Ndiaye,1.070535,MID,Sheffield United,1,Wolverhampton Wanderers,4.5,FALSE,2021,2.75,32,Ndiaye
Davy PrÃ¶pper,1.070535,MID,Brighton and Hove Albion,1,Chelsea,4.7,FALSE,2021,2.8,32,PrÃ¶pper
Thakgalo Leshabela,1.0702305,MID,Leicester City,1,West Bromwich Albion,4.4,TRUE,2021,2.25,32,Leshabela
Robert Snodgrass,1.0671302,MID,West Bromwich Albion,0.5,Leicester City,5.6,FALSE,2021,2.375,32,Snodgrass
Harry Winks,1.0624214,MID,Tottenham Hotspur,1,Everton,5.1,FALSE,2021,13.8,32,Winks
Harry Winks,1.0596879,MID,Tottenham Hotspur,1,Southampton,5.1,TRUE,2021,13.8,32,Winks
Alexis Mac Allister,1.0506794,MID,Brighton and Hove Albion,1,Chelsea,5.3,FALSE,2021,21,32,Mac Allister
Riyad Mahrez,1.049611,MID,Manchester City,1,Aston Villa,8.1,FALSE,2021,45.6,32,Mahrez
Steven Bergwijn,1.045192,MID,Tottenham Hotspur,1,Southampton,7,TRUE,2021,4.8,32,Bergwijn
Moussa Sissoko,1.0385205,MID,Tottenham Hotspur,1,Everton,4.7,FALSE,2021,18.2,32,Sissoko
Vitor Ferreira,1.0374525,MID,Wolverhampton Wanderers,1,Sheffield United,4.7,TRUE,2021,4.5,32,Vitinha
Alireza Jahanbakhsh,1.030298,MID,Brighton and Hove Albion,1,Chelsea,5.4,FALSE,2021,1.4,32,Jahanbakhsh
Mohamed Naser El Sayed Elneny,1.0300258,MID,Arsenal,1,Fulham,4.2,TRUE,2021,8.2,32,Elneny
Josh Onomah,1.0206399,MID,Fulham,1,Arsenal,4.6,FALSE,2021,4.25,32,Onomah
Nathan Tella,1.0077022,MID,Southampton,1,Tottenham Hotspur,4.3,FALSE,2021,38.2,32,Tella
Mark Noble,0.9766708,MID,West Ham United,0.75,Newcastle United,4.5,FALSE,2021,37.2,32,Noble
Nampalys Mendy,0.9557441,MID,Leicester City,1,West Bromwich Albion,4.2,TRUE,2021,1.75,32,Mendy
Moussa Djenepo,0.9367843,MID,Southampton,1,Tottenham Hotspur,5.4,FALSE,2021,3,32,Djenepo
Ben Osborn,0.88742673,MID,Sheffield United,1,Wolverhampton Wanderers,4.7,FALSE,2021,45,32,Osborn
Caleb Watts,0.86834246,MID,Southampton,1,Tottenham Hotspur,4.5,FALSE,2021,3.6,32,Watts
Donny van de Beek,0.83462715,MID,Manchester United,1,Burnley,6.6,TRUE,2021,4,32,van de Beek
Steven Alzate,0.7768928,MID,Brighton and Hove Albion,1,Chelsea,4.2,FALSE,2021,4.4,32,Alzate
