FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Toby,Alderweireld,DEF,TOT,5400000,0,47,4.3,7.96296296296296E-07,8.7037037037037E-06,0,230411,0,10,0,0,0,1,0,8.7,4138,-1,0,47,1,0.6,0,3.2,4,0,5,0,0,1.8,143552,1,-1,0,1,980,1352,0,0,219,Brighton,Chelsea,West Brom,Man City,West Ham,5.2,4.2,5.1,5.7,5.8,4.5,5.5,6,4.3,4.4,5,5,0,4.6,5,5.7,5.1,5.5,42.4
Trent,Alexander-Arnold,DEF,LIV,7300000,14,67,3.7,5.06849315068493E-07,9.17808219178082E-06,0,3349345,1,22,0,0,0,1,0,9.2,8441,-2,0,67,2,0.8,0,6,7,0,4,0,3,13.8,687211,0,-1,0,1,1485,43511,0,0,336,West Ham,Brighton,Man City,Leicester,Everton,4.3,3.8,5.3,4.1,3.3,3.6,4.8,4.6,3.7,4.5,4.6,3.6,3.7,4.7,3.9,4.6,3.7,4.8,107.2
Ezgjan,Alioski,DEF,LEE,4500000,0,55,3.2,7.11111111111111E-07,1.22222222222222E-05,0,206729,3,21,0,0,0,2,0,12.2,18637,0,0,55,0,0.2,0,1,6,0,5,0,0,2.7,359182,0,-1,0,2,1092,2864,0,0,234,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,3.7,2.2,3.6,4.1,4.1,3.3,3.9,2.6,4,2.9,4.3,3.7,3.2,3.4,2.4,3.3,2.6,3.3,57.7
,Alisson,GLK,LIV,5900000,2,69,4.1,6.94915254237288E-07,1.16949152542373E-05,0,949064,1,14,0,36,0,0,0,11.7,4389,-1,0,69,1,0.8,0,4.6,6,0,5,0,0,6.8,403573,0,-1,1,1,1530,5805,0,0,312,West Ham,Brighton,Man City,Leicester,Everton,5,4.4,5.9,4.7,3.9,4.2,5.5,5.1,4.4,5.2,5.2,4.2,4.3,5.4,4.5,5.3,4.3,5.6,35.6
,Allan,MID,EVE,5200000,0,21,1.8,3.46153846153846E-07,4.03846153846154E-06,0,164827,4,16,0,0,0,0,0,4,403,-3,0,21,3,0,0,0,0,0,2,0,0,0.6,81653,0,-1,0,0,1028,13,0,0,140,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,1.2,1.3,1.1,1.1,0.9,1.1,1.2,1.2,1.5,0.9,1.4,0.9,1.2,0.9,1.1,1.6,1.1,0.9,30.5
Bamidele,Alli,MID,TOT,7400000,0,4,0.210526315789474,2.84495021337127E-08,5.40540540540541E-07,0,248613,0,1,0,0,0,0,0,0.5,327,-6,0,4,6,0,0,0,0,0,0,0,0,0.5,21314,0,-1,0,0,74,13,0,0,13,Brighton,Chelsea,West Brom,Man City,West Ham,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,5.2
Miguel,Almiron,MID,NEW,5600000,9,48,2.7,4.82142857142857E-07,8.57142857142857E-06,0,89528,1,22,0,0,0,2,0,8.6,728,-4,0,48,4,0.5,0,2.7,4,0,2,0,1,0.4,43100,0,-1,0,0,1095,407,0,0,181,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,2.3,2.2,2.5,2,1.8,2.4,2.6,1.7,2.3,1.7,2.5,2.1,1.4,1.9,1.9,1.8,3.3,2.2,67.7
Marcos,Alonso,DEF,CHE,5600000,0,2,0.1,1.78571428571429E-08,3.57142857142857E-07,0,197415,1,6,0,0,0,0,0,0.4,415,-4,0,2,4,0,0,0,0,0,0,0,0,1.4,41200,0,-1,0,0,225,108,0,0,36,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,-1,0,0,0,150,0,0,0,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4300000,0,14,0.7,1.62790697674419E-07,3.25581395348837E-06,0,159708,1,13,0,0,0,0,0,3.3,3879,-2,0,14,2,0,0,0,0,0,2,0,0,0.7,177435,0,-1,0,0,520,280,0,0,74,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
