FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Fabian,Balbuena,DEF,WHU,4400000,0,40,3.3,7.5E-07,9.09090909090909E-06,0,247915,1,16,0,0,0,1,0,9.1,5198,-1,0,40,1,0,0,0,0,0,4,0,0,1.1,296780,0,-1,0,0,1080,425,0,0,185,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,4.2,3.8,3.9,3.4,2.8,4.2,2.7,4.1,3.6,4,3.2,2.7,3,3.2,2.6,3.3,4,3.1,32.4
George,Baldock,DEF,SHU,4900000,2,27,1.6,3.26530612244898E-07,5.51020408163265E-06,0,300788,2,28,0,0,0,0,0,5.5,757,-6,0,27,6,0.1,0,0.5,0,0,0,0,1,0.9,46702,0,-1,0,0,1530,159,0,0,175,Man City,West Brom,Chelsea,West Ham,Fulham,1.7,1.3,1,1.2,1.3,1.5,1,1.1,1.3,1,1.2,1.4,1,1,1.4,1,0.8,1.1,57.3
Gareth,Bale,MID,TOT,9300000,1,15,0.789473684210526,8.48896434634975E-08,1.61290322580645E-06,0,154032,0,4,0,0,0,1,0,1.6,312,-2,0,15,2,0,0,0.2,3,0,1,0,0,0.3,158883,0,-1,0,0,169,346,0,0,39,Brighton,Chelsea,West Brom,Man City,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.1
Patrick,Bamford,FWD,LEE,6700000,1,104,5.5,8.2089552238806E-07,1.55223880597015E-05,0,2429603,1,33,0,0,0,10,0,15.5,187063,12,0,104,-12,0.3,0,1.7,13,0,6,0,5,48.1,5437945,0,-1,0,2,1605,34351,0,0,332,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,7.4,5.8,7.4,7,6.7,5.5,6.4,5.8,7.6,7,5.6,6.7,6,7.9,5.6,6.8,6.3,6.7,143.5
Phil,Bardsley,DEF,BUR,4400000,0,1,0.0526315789473684,1.19617224880383E-08,2.27272727272727E-07,0,41419,2,8,0,0,0,0,0,0.2,130,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,12094,0,-1,0,0,270,56,0,0,24,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Ross,Barkley,MID,AVL,5900000,2,40,2.22222222222222,3.76647834274953E-07,6.77966101694915E-06,0,469812,0,12,0,0,0,2,0,6.8,1430,-1,0,40,1,0.3,0,2,4,0,4,0,1,0.8,471684,0,-1,0,1,722,856,0,0,136,Southampton,West Ham,Arsenal,Brighton,Leicester,1.4,1.4,1.3,1.8,1.2,1.7,1.7,1.8,2.4,1.7,1.1,1.2,1.8,1.8,1.1,1.2,1.5,1.6,70.8
Ashley,Barnes,FWD,BUR,6000000,0,35,2.3,3.83333333333333E-07,5.83333333333333E-06,0,36980,4,15,0,0,0,2,0,5.8,3084,0,0,35,0,0.4,0,2.5,4,0,5,0,0,0.3,43132,0,-1,0,0,1020,260,0,0,70,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0,1.6,2,2.2,2.2,1.9,1.5,2,1.7,1.5,2.4,2.1,1.6,1.6,2,1.7,2,2.3,63.9
Harvey,Barnes,MID,LEI,6800000,6,86,4.5,6.61764705882353E-07,1.26470588235294E-05,0,856405,0,18,0,0,0,6,0,12.6,14996,-2,0,86,2,0.9,0,5.8,7,0,5,0,3,6,1001510,0,-1,0,1,1459,42140,0,0,227,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,4,5.2,4.8,3.5,4.2,3.8,5.4,5.8,5.7,3.6,4.7,4.9,4.3,4.6,5,4.6,4.8,3.5,124.4
Kyle,Bartley,DEF,WBA,4400000,1,25,2.1,4.77272727272727E-07,5.68181818181818E-06,0,22418,1,25,0,0,0,1,0,5.7,151,-1,0,25,1,0.4,0,1.8,0,0,1,0,1,0.1,15986,0,-1,0,0,969,222,0,0,151,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,2,1.7,1.7,1.7,1.7,1.4,1.4,1.8,1.2,1.5,1.4,1.9,2.1,2.2,2.2,2.1,1.9,1.7,38.8
Chris,Basham,DEF,SHU,4600000,2,30,1.5,3.26086956521739E-07,6.52173913043478E-06,0,133673,1,32,0,0,0,0,0,6.5,812,-4,0,30,4,0.3,0,1.2,2,0,0,0,0,0.6,35343,0,-1,0,0,1639,238,0,0,250,Man City,West Brom,Chelsea,West Ham,Fulham,1.6,1.2,0.9,1.1,1.2,1.3,0.9,1,1.2,0.9,1.1,1.2,0.9,0.9,1.3,0.9,0.8,1,55.6
Michy,Batshuayi,FWD,CRY,5700000,6,27,1.35,2.36842105263158E-07,4.73684210526316E-06,0,172075,0,10,0,0,0,1,0,4.7,444,-3,0,27,3,0.3,0,1.8,1,0,1,0,2,0.6,59881,0,-1,0,0,457,1174,0,0,73,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,0.9,0.8,0.7,0.8,0.8,1,0.7,1.1,0.8,0.7,0.8,0.7,0.7,0.7,0.9,0.7,0.7,0.7,31.1
Jan,Bednarek,DEF,SOU,4900000,1,81,4.3,8.77551020408163E-07,1.6530612244898E-05,0,534229,1,21,0,0,0,1,0,16.5,39662,4,0,81,-4,0.6,0,3,11,0,8,0,1,12.8,1289870,0,-1,0,2,1620,19415,0,0,383,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,5.7,5.6,3.8,6.2,4.8,4.3,4.3,4.9,4.4,5.2,5.4,6.1,0,5,5.2,6,4.4,5.1,53.2
Hector,Bellerin,DEF,ARS,5100000,1,62,3.6,7.05882352941176E-07,1.2156862745098E-05,0,927414,7,17,0,0,0,0,0,12.2,17019,1,0,62,-1,0.4,0,2.2,11,0,5,0,3,4.7,889039,0,-1,0,3,1460,2187,0,0,291,Man Utd,Wolverhampton,Aston Villa,Leeds United F.C.,Man City,3.8,4.8,4.6,2.8,4.8,4.3,3.9,3,4.6,4.4,3.9,4.2,2.7,3.4,4,3.5,4.1,3.2,63.8
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,4906,0,0,0,0,0,0,0,0,9,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,27662,0,0,0,0,0,0,0,0,52,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,2,26,1.3,2.16666666666667E-07,4.33333333333333E-06,0,44267,0,7,0,0,0,0,0,4.3,1209,0,0,26,0,0.4,0,2.5,0,0,2,0,2,0.2,52997,0,-1,0,0,606,476,0,0,87,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0.6,0.6,0.7,1.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.7,0.8,0.7,45.2
Josh,Benson,MID,BUR,4500000,0,9,0.473684210526316,1.05263157894737E-07,2E-06,0,3029,0,7,0,0,0,0,0,2,95,0,0,9,0,0,0,0,0,0,1,0,0,0,3777,0,-1,0,0,251,11,0,0,24,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.3
Christian,Benteke,FWD,CRY,5500000,5,39,2.8,5.09090909090909E-07,7.09090909090909E-06,0,96145,0,13,0,0,0,3,0,7.1,2677,0,0,39,0,0.5,0,2.8,3,0,1,0,2,0.7,124494,0,-1,0,1,686,5974,0,1,103,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,2.8,2.7,2.4,2.6,2.7,3,2.3,3.2,2.6,2.5,2.5,1.8,2.4,2.4,2.8,2.3,2.3,2.2,65.9
Sander,Berge,MID,SHU,4900000,0,29,2.2,4.48979591836735E-07,5.91836734693878E-06,0,29643,4,19,0,0,0,1,0,5.9,218,-1,0,29,1,0,0,0,1,0,0,0,1,0.1,22874,0,-1,0,0,1015,15,0,0,148,Man City,West Brom,Chelsea,West Ham,Fulham,0,0,0,0,0,0,0,0,1.2,1.6,1.3,1.4,1.6,1.4,1.5,1.7,1.6,2,47
Steven,Bergwijn,MID,TOT,7000000,4,34,1.78947368421053,2.55639097744361E-07,4.85714285714286E-06,0,100753,2,9,0,0,0,0,0,4.9,503,-5,0,34,5,0.5,0,3.8,0,0,5,0,3,0.4,27425,0,-1,0,0,844,488,0,0,62,Brighton,Chelsea,West Brom,Man City,West Ham,1.3,1,1.1,0.9,1.1,1.2,1,1.2,1.1,1.3,0.9,1.4,0,1.6,1.3,1.1,0.9,1.1,30.7
Adrian,Bernabe,MID,MCI,4500000,0,0,0,0,0,0,1209,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,-1,0,0,0,18,0,0,0,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernard,MID,EVE,5700000,0,13,0.722222222222222,1.26705653021442E-07,2.28070175438596E-06,0,18709,2,4,0,0,0,1,0,2.3,160,-3,0,13,3,0.2,0,1,1,0,1,0,0,0.1,10633,0,-1,0,0,271,56,0,0,44,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,22.8
,Bernardo,DEF,BHA,3900000,0,5,1.7,4.35897435897436E-07,1.28205128205128E-06,0,745478,0,3,0,0,0,0,0,1.3,17429,-1,0,5,1,0.1,0,0.5,0,0,0,0,0,6.3,319447,0,-1,0,0,205,0,0,0,30,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
,Bernardo Silva,MID,MCI,7400000,4,36,1.89473684210526,2.56045519203414E-07,4.86486486486486E-06,0,101793,1,4,0,0,0,1,0,4.9,5289,-1,0,36,1,0.5,0,3.6,1,0,6,0,1,1,109142,0,-1,0,0,940,4893,0,0,168,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,2.1,1.3,0.9,1,1.1,1.2,0.9,1.1,1.5,1,1.2,0.9,0,0.9,1.3,1.2,1.2,1.2,56.5
Ryan,Bertrand,DEF,SOU,5000000,0,54,3.2,6.4E-07,1.08E-05,0,141971,5,19,0,0,0,0,0,10.8,1377,0,0,54,0,0.3,0,1.7,2,0,7,0,0,0.8,94280,0,-1,0,0,1518,725,0,0,246,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,3.8,3.7,2.3,4.4,3.1,2.7,2.7,3.2,2.8,3.4,3.6,4.1,0,3.3,3.4,4,2.8,3.4,42.1
Marcus,Bettinelli,GLK,FUL,4300000,0,0,0,0,0,0,5360,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0,895,0,-1,0,0,0,0,0,0,0,West Brom,Leicester,West Ham,Everton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves,Bissouma,MID,BHA,4500000,2,36,2,4.44444444444444E-07,8E-06,0,475496,6,25,0,0,0,1,0,8,7764,0,0,36,0,0.2,0,0.8,2,0,4,0,0,2,314814,0,-1,0,0,1492,708,0,1,224,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,1,1,1.7,1,1.2,1.8,1,1.2,1.5,1.2,1.1,1.3,2.1,1.1,1.3,1.1,1,1.4,50.8
Jayden,Bogle,DEF,SHU,4300000,1,15,0.75,1.74418604651163E-07,3.48837209302326E-06,0,9950,1,7,0,0,0,1,0,3.5,179,-2,0,15,2,0.5,0,2,0,0,1,0,0,0.1,6172,0,-1,0,0,343,94,0,0,53,Man City,West Brom,Chelsea,West Ham,Fulham,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.3
Mateusz,Bogusz,MID,LEE,4300000,0,0,0,0,0,0,2865,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0,2836,0,-1,0,0,0,0,0,0,0,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,5400000,6,54,3.9,7.22222222222222E-07,1E-05,0,230370,1,19,0,0,0,1,0,10,968,-1,0,54,1,0.8,0,4.5,4,0,5,0,1,1.4,145833,0,-1,0,0,1260,3236,0,0,256,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,4.2,4.7,4.3,3.1,3.7,3.3,4.6,5.4,4.7,5.1,4.7,4.5,4.4,4.9,4.2,4,3.8,4.8,43
Leo,Bonatini,FWD,WOL,4800000,0,0,0,0,0,0,27788,0,0,0,0,0,0,0,0,39,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,8705,0,-1,0,0,0,0,0,0,0,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5400000,0,0,0,0,0,0,4707,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,634,0,-1,0,0,0,0,0,0,0,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod,Bowen,MID,WHU,6300000,5,83,4.2,6.66666666666667E-07,1.31746031746032E-05,0,611412,0,20,0,0,0,5,0,13.2,18559,-2,0,83,2,0.7,0,4.5,5,0,6,0,3,2.9,682805,0,-1,0,2,1542,1556,0,0,258,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,3.5,3.5,4.4,5.7,3.5,2.9,3.9,3.8,3.7,4.1,3.4,4.5,4.3,4.9,4,4.6,5,4.6,114.1
Robbie,Brady,MID,BUR,5000000,1,39,2.8,5.6E-07,7.8E-06,0,12246,2,4,0,0,0,1,0,7.8,669,0,0,39,0,0.4,0,2.2,3,0,7,0,1,0.1,12616,0,-1,0,0,883,65,0,0,140,Chelsea,Man City,Brighton,Crystal Palace,West Brom,2.2,1.8,2.3,1.8,2.6,2.1,1.9,2.5,1.8,2,2.7,2,2.2,2.1,2.4,2.1,1.8,3.2,44.4
Jarrad,Branthwaite,DEF,EVE,3900000,0,0,0,0,0,0,296383,0,0,0,0,0,0,0,0,2896,-1,0,0,1,0,0,0,0,0,0,0,0,1.5,140402,0,-1,0,0,0,0,0,0,0,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio,Bravo,GLK,MCI,4500000,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,-1,0,0,0,0,0,0,0,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Bree,DEF,AVL,4500000,0,0,0,0,0,0,10302,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9840,0,-1,0,0,0,0,0,0,0,Southampton,West Ham,Arsenal,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian,Brewster,FWD,SHU,4500000,1,20,1,2.22222222222222E-07,4.44444444444444E-06,0,1017055,0,9,0,0,0,0,0,4.4,24592,0,0,20,0,0.2,0,1,0,0,1,0,0,7.6,1183118,0,-1,0,0,662,17520,0,0,45,Man City,West Brom,Chelsea,West Ham,Fulham,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.6,0.5,23.9
Josh,Brownhill,MID,BUR,4900000,1,41,2.3,4.69387755102041E-07,8.36734693877551E-06,0,7445,1,18,0,0,0,0,0,8.4,373,-1,0,41,1,0.4,0,2,0,0,7,0,0,0.1,7272,0,-1,0,0,1575,8,0,0,203,Chelsea,Man City,Brighton,Crystal Palace,West Brom,0,1.3,1.7,1.3,1.9,1.5,1.4,1.9,1.3,1.5,2,1.4,1.6,1.5,1.7,1.5,1.3,2.4,57.4
Joe,Bryan,DEF,FUL,4600000,1,12,0.631578947368421,1.37299771167048E-07,2.60869565217391E-06,0,65100,2,13,0,0,0,0,0,2.6,213,-4,0,12,4,0.1,0,0.5,0,0,0,0,1,0.3,14621,0,-1,0,0,449,119,0,0,85,West Brom,Leicester,West Ham,Everton,Sheffield United,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.3,0,0.3,0.3,0.3,0.3,0.3,17.5
Kean,Bryan,DEF,SHU,3900000,7,11,0.55,1.41025641025641E-07,2.82051282051282E-06,0,24483,0,3,0,0,0,1,0,2.8,641,-1,0,11,1,0.5,0,2,0,0,0,0,0,0.2,39256,0,-1,0,0,227,2490,0,0,44,Man City,West Brom,Chelsea,West Ham,Fulham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,12
Oliver,Burke,MID,SHU,4300000,6,26,1.3,3.02325581395349E-07,6.04651162790698E-06,0,272442,2,11,0,0,0,1,0,6,12087,-2,0,26,2,0.5,0,2.2,0,0,1,0,1,1.8,327522,0,-1,0,0,757,4525,0,0,68,Man City,West Brom,Chelsea,West Ham,Fulham,0.6,0.8,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.8,53.3
Dan,Burn,DEF,BHA,4200000,0,21,1.05,2.5E-07,5E-06,0,49379,3,14,0,0,0,0,0,5,914,-3,0,21,3,0.4,0,1.5,0,0,2,0,0,0.4,21660,1,-1,0,0,911,516,0,0,122,Tottenham,Liverpool,Burnley,Aston Villa,Crystal Palace,0.5,0.7,0.5,0.6,0.7,0.7,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.7,0.6,1.1,0.7,21.7
Jack,Butland,GLK,CRY,4500000,0,0,0,0,0,0,3349,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,4562,0,-1,0,0,0,50,0,0,0,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David,Button,GLK,WBA,4000000,0,2,0.1,2.5E-08,5E-07,0,217715,0,2,0,4,0,0,0,0.5,3131,0,0,2,0,0.1,0,0.5,0,0,0,0,0,4.1,191047,0,-1,0,0,90,2566,0,0,18,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Oskar,Buur,DEF,WOL,3900000,0,1,0.05,1.28205128205128E-08,2.56410256410256E-07,0,254333,0,0,0,0,0,0,0,0.3,3670,-1,0,1,1,0,0,0,0,0,0,0,0,2.2,255048,0,-1,0,0,22,882,0,0,2,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Willy,Caballero,GLK,CHE,4700000,0,1,0.05,1.06382978723404E-08,2.12765957446809E-07,0,20627,0,3,0,0,0,0,0,0.2,68,-3,0,1,3,0,0,0,0,0,0,0,0,0.2,5312,0,-1,0,0,90,21,0,0,7,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Gary,Cahill,DEF,CRY,4500000,1,7,0.35,7.77777777777778E-08,1.55555555555556E-06,0,15991,0,19,0,0,0,0,0,1.6,159,0,0,7,0,0,0,0.2,0,0,0,0,0,0.1,14313,0,-1,0,0,630,269,0,0,89,Wolverhampton,Newcastle,Leeds United F.C.,Burnley,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.9
Jake,Cain,MID,LIV,4500000,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,-1,0,0,0,16,0,0,0,West Ham,Brighton,Man City,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Cairney,MID,FUL,5200000,0,27,1.42105263157895,2.73279352226721E-07,5.19230769230769E-06,0,25768,2,15,0,0,0,1,0,5.2,250,-3,0,27,3,0,0,0,2,0,1,0,1,0.1,10716,0,-1,0,0,758,13,0,0,160,West Brom,Leicester,West Ham,Everton,Sheffield United,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0,0.7,1,0.7,0.7,0.9,57.3
,Callum Robinson,FWD,WBA,5400000,1,49,2.6,4.81481481481482E-07,9.07407407407407E-06,0,158809,0,31,0,0,0,2,0,9.1,3733,-1,0,49,1,0.6,0,3.5,4,0,2,0,3,0.9,193662,0,-1,0,1,1066,12582,0,0,165,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,2.4,2.8,2.4,2,2.2,2.3,2.7,2.8,1.9,2,2.2,2.5,2,2.2,2.3,2.3,1.8,2.5,48.9
Dominic,Calvert-Lewin,FWD,EVE,7600000,2,97,5.7,7.5E-07,1.27631578947368E-05,0,4330195,3,20,0,0,0,11,0,12.8,26090,6,0,97,-6,0.2,0,1.3,10,0,5,0,4,31,5533178,0,-1,0,2,1493,315789,0,0,344,Newcastle,Leeds United F.C.,Man Utd,Fulham,Liverpool,7.3,7.9,8,7.2,7.5,6.7,6.8,6.3,8.2,7.6,8.2,5.9,7.4,5.8,6.8,7.3,6.8,5.9,142.2
Leonardo,Campana,FWD,WOL,4800000,0,0,0,0,0,0,35712,0,0,0,0,0,0,0,0,366,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,23658,0,-1,0,0,0,326,0,0,0,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joao Pedro Cavaco,Cancelo,DEF,MCI,5900000,17,86,5.7,9.66101694915254E-07,1.45762711864407E-05,0,485909,3,6,0,0,0,1,0,14.6,4974,4,-1,86,-4,1.1,0,6.6,13,0,9,0,2,17.2,1721683,0,-1,0,1,1279,302009,1,0,353,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,7.7,6.6,6.9,6.8,7.5,8,7.6,7.1,8.3,7.2,6.6,7.2,0,6.7,7.2,5.8,6.8,6.5,96.7
Elia,Caprile,GLK,LEE,4000000,0,0,0,0,0,0,18260,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0.3,32971,0,-1,0,0,0,121,0,0,0,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carlos Vinicius,FWD,TOT,6900000,0,4,1,1.44927536231884E-07,5.79710144927536E-07,0,7511,0,0,0,0,0,0,0,0.6,314,-1,0,4,1,0.1,0,0.8,0,0,0,0,0,0.1,10283,0,-1,0,0,25,1959,0,0,10,Brighton,Chelsea,West Brom,Man City,West Ham,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.6,0,0.6,0.6,0.5,0.5,0.5,3.6
Andy,Carroll,FWD,NEW,5200000,0,24,1.2,2.30769230769231E-07,4.61538461538462E-06,0,83862,1,8,0,0,0,1,0,4.6,1718,-3,0,24,3,0.4,0,2,3,0,1,0,1,0.4,69365,0,-1,0,0,359,485,0,0,64,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0.7,1,0.7,0.6,0.7,0.7,0.8,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.7,23.5
Scott,Carson,GLK,MCI,4000000,0,0,0,0,0,0,1726,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,3219,0,-1,0,0,0,31,0,0,0,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Carter-Vickers,DEF,TOT,3900000,0,0,0,0,0,0,31963,0,0,0,0,0,0,0,0,221,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,18844,0,-1,0,0,0,0,0,0,0,Brighton,Chelsea,West Brom,Man City,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Casey,DEF,LEE,3900000,0,0,0,0,0,0,96871,0,0,0,0,0,0,0,0,1456,-1,0,0,1,0,0,0,0,0,0,0,0,1.1,107945,0,-1,0,0,0,182,0,0,0,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Cash,DEF,AVL,5000000,1,63,3.7,7.4E-07,1.26E-05,0,99065,5,21,0,0,0,0,0,12.6,4156,0,0,63,0,0.6,0,2.8,5,0,8,0,2,1.2,153026,0,-1,0,0,1492,2888,0,0,321,Southampton,West Ham,Arsenal,Brighton,Leicester,3.1,4.5,4.1,4,3.7,3.8,5.1,3.4,3.8,4.6,4.6,5.2,4.4,3.8,4.2,4.1,3.9,3.5,66.5
,Casilla,GLK,LEE,4200000,0,2,0.105263157894737,2.5062656641604E-08,4.76190476190476E-07,0,129346,0,1,0,1,0,0,0,0.5,700,-3,0,2,3,0.2,0,0.7,0,0,0,0,0,0.9,27711,0,-1,0,0,90,349,0,0,12,Leicester,Everton,Crystal Palace,Arsenal,Wolverhampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8
Timothy,Castagne,DEF,LEI,5700000,2,53,4.4,7.71929824561404E-07,9.29824561403509E-06,0,1694502,1,12,0,0,0,1,0,9.3,3872,2,0,53,-2,0.7,0,4,4,0,4,0,3,4.9,1672002,0,-1,0,2,1049,8055,0,0,227,Leeds United F.C.,Fulham,Wolverhampton,Liverpool,Aston Villa,3.9,6.1,5.9,5.8,6,5.1,5.4,4.8,5.2,5.9,6,5.3,5.7,4.3,4.3,6.3,4.7,4.1,47.7
