Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,Gw,FirstName
Alexandre Lacazette,5.781626,FWD,Arsenal,1,Fulham,8.3,TRUE,2021,76.4,32,Lacazette
Mbaye Diagne,4.8383627,FWD,West Bromwich Albion,1,Leicester City,6,FALSE,2021,84.5,32,Diagne
James Ward-Prowse,5.251118,MID,Southampton,1,Tottenham Hotspur,5.9,FALSE,2021,90,32,Ward-Prowse
Lucas Rodrigues Moura da Silva,4.776245,MID,Tottenham Hotspur,1,Southampton,6.6,TRUE,2021,82.8,32,Lucas Moura
Matthew Cash,4.85883,DEF,Aston Villa,1,Manchester City,5,TRUE,2021,67.5,32,Cash
Ola Aina,4.7968597,DEF,Fulham,1,Arsenal,4.5,FALSE,2021,84.8,32,Aina
