Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,FirstName,Season
Nampalys Mendy,1.1009693,MID,Leicester City,1,Sheffield United,4.2,TRUE,Mendy,2021
Moussa Djenepo,1.0934079,MID,Southampton,0.75,Brighton and Hove Albion,5.4,TRUE,Djenepo,2021
Bamidele Alli,1.0867451,MID,Tottenham Hotspur,1,Arsenal,7.4,FALSE,Alli,2021
Matt Ritchie,1.0717539,MID,Newcastle United,1,Aston Villa,4.9,TRUE,Ritchie,2021
Tanguy Ndombele,1.0622281,MID,Tottenham Hotspur,1,Arsenal,5.9,FALSE,Ndombele,2021
Cengiz Ãœnder,1.0524316,MID,Leicester City,0.25,Sheffield United,5.7,TRUE,Ãœnder,2021
Jack Wilshere,1.0375794,MID,West Ham United,0,Manchester United,4.9,FALSE,Wilshere,2021
Jamie Shackleton,1.0219748,MID,Leeds,1,Chelsea,4.8,TRUE,Shackleton,2021
Robbie Brady,1.009659,MID,Burnley,1,Everton,5,FALSE,Brady,2021
Grady Diangana,1.0009578,MID,West Bromwich Albion,1,Crystal Palace,5,FALSE,Diangana,2021
Tom Davies,0.9825067,MID,Everton,1,Burnley,5.2,TRUE,Davies,2021
Lucas Rodrigues Moura da Silva,0.94549304,MID,Tottenham Hotspur,1,Arsenal,6.6,FALSE,Lucas Moura,2021
Oliver Norwood,0.9160287,MID,Sheffield United,1,Leicester City,4.5,FALSE,Norwood,2021
Steven Alzate,0.91484964,MID,Brighton and Hove Albion,1,Southampton,4.2,FALSE,Alzate,2021
Caleb Watts,0.8810399,MID,Southampton,1,Brighton and Hove Albion,4.5,TRUE,Watts,2021
Donny van de Beek,0.83462715,MID,Manchester United,0.75,West Ham United,6.6,TRUE,van de Beek,2021
John Fleck,0.8283506,MID,Sheffield United,1,Leicester City,5.6,FALSE,Fleck,2021
Allan Marques Loureiro,0.7724957,MID,Everton,1,Burnley,5.2,TRUE,Allan,2021
John Lundstram,0.7700655,MID,Sheffield United,1,Leicester City,4.9,FALSE,Lundstram,2021
John McGinn,0.7672903,MID,Aston Villa,1,Newcastle United,5.5,FALSE,McGinn,2021
Diogo Jota,0.75335807,MID,Liverpool,1,Wolverhampton Wanderers,6.6,FALSE,Jota,2021
Jorge Luiz Frello Filho,0.64813167,MID,Chelsea,1,Leeds,4.7,FALSE,Jorginho,2021
Moussa Sissoko,0.29632196,MID,Tottenham Hotspur,1,Arsenal,4.7,FALSE,Sissoko,2021
Matheus Pereira,0.2148523,MID,West Bromwich Albion,1,Crystal Palace,5.4,FALSE,Pereira,2021
Jack Cork,0.137631,MID,Burnley,0.25,Everton,5,FALSE,Cork,2021
James Maddison,0.10835355,MID,Leicester City,0,Sheffield United,7.1,TRUE,Maddison,2021
Aaron Mooy,0.09525552,MID,Brighton and Hove Albion,0,Southampton,5,FALSE,Mooy,2021
Jordan Henderson,0.083567984,MID,Liverpool,0,Wolverhampton Wanderers,5.4,FALSE,Henderson,2021
Curtis Jones,0.060987983,MID,Liverpool,1,Wolverhampton Wanderers,4.4,FALSE,Jones,2021
Marvelous Nakamba,0.05142788,MID,Aston Villa,1,Newcastle United,4.3,FALSE,Nakamba,2021
Steven Bergwijn,0.026809476,MID,Tottenham Hotspur,1,Arsenal,7,FALSE,Bergwijn,2021
Ben Osborn,0.021002237,MID,Sheffield United,1,Leicester City,4.7,FALSE,Osborn,2021
Georginio Wijnaldum,0.020267956,MID,Liverpool,1,Wolverhampton Wanderers,5.3,FALSE,Wijnaldum,2021
Mahmoud Ahmed Ibrahim Hassan,0.017996034,MID,Aston Villa,1,Newcastle United,5.2,FALSE,TrÃ©zÃ©guet,2021
Ashley Westwood,0.016616736,MID,Burnley,1,Everton,5.3,FALSE,Westwood,2021
Wilfried Zaha,0.01251613,MID,Crystal Palace,1,West Bromwich Albion,7.1,TRUE,Zaha,2021
Morgan Gibbs-White,0.009611322,MID,Wolverhampton Wanderers,1,Liverpool,4.9,TRUE,Gibbs-White,2021
Matthew Longstaff,0.008987635,MID,Newcastle United,1,Aston Villa,4.8,TRUE,Matty Longstaff,2021
Romaine Sawyers,0.008136929,MID,West Bromwich Albion,1,Crystal Palace,4.6,FALSE,Sawyers,2021
Alireza Jahanbakhsh,0.007232279,MID,Brighton and Hove Albion,1,Southampton,5.4,FALSE,Jahanbakhsh,2021
Ibrahima Diallo,0.005862851,MID,Southampton,1,Brighton and Hove Albion,4.5,TRUE,Diallo,2021
Conor Hourihane,0.005799147,MID,Aston Villa,0,Newcastle United,5.9,FALSE,Hourihane,2021
Giovani Lo Celso,0.005799147,MID,Tottenham Hotspur,0.75,Arsenal,6.9,FALSE,Lo Celso,2021
Aboubakar Kamara,0.005494718,MID,Fulham,0,Manchester City,4.8,TRUE,Kamara,2021
Reiss Nelson,0.005494718,MID,Arsenal,1,Tottenham Hotspur,5.1,TRUE,Nelson,2021
Max Meyer,0.005494718,MID,Crystal Palace,0,West Bromwich Albion,4.7,TRUE,Meyer,2021
Andreas Pereira,0.005494718,MID,Manchester United,0,West Ham United,4.8,TRUE,Pereira,2021
Adam Forshaw,0.005494718,MID,Leeds,0,Chelsea,4.8,TRUE,Forshaw,2021
Dennis Praet,0.005494718,MID,Leicester City,0.25,Sheffield United,5.2,TRUE,Praet,2021
Fabio Henrique Tavares,0.004628124,MID,Liverpool,1,Wolverhampton Wanderers,5.4,FALSE,Fabinho,2021
Robert Snodgrass,0.002594044,MID,West Bromwich Albion,1,Crystal Palace,5.6,FALSE,Snodgrass,2021
Matty James,0.002426039,MID,Leicester City,0,Sheffield United,4.3,TRUE,James,2021
Kevin McDonald,0.002426039,MID,Fulham,0,Manchester City,4.7,TRUE,McDonald,2021
Alex Oxlade-Chamberlain,0.001248844,MID,Liverpool,1,Wolverhampton Wanderers,6.3,FALSE,Chamberlain,2021
Jake Livermore,0.000728933,MID,West Bromwich Albion,1,Crystal Palace,4.7,FALSE,Livermore,2021
Neeskens Kebano,-0.002639981,MID,Fulham,0,Manchester City,4.7,TRUE,Kebano,2021
Erik Lamela,-0.003657397,MID,Tottenham Hotspur,1,Arsenal,5.7,FALSE,Lamela,2021
Kamil Grosicki,-0.00402716,MID,West Bromwich Albion,1,Crystal Palace,5.2,FALSE,Grosicki,2021
James Garner,-0.004498417,MID,Manchester United,0,West Ham United,4.4,TRUE,Garner,2021
Brandon Pierrick,-0.004498417,MID,Crystal Palace,0,West Bromwich Albion,4.3,TRUE,Pierrick,2021
Tahith Chong,-0.004498417,MID,Manchester United,0,West Ham United,4.4,TRUE,Chong,2021
Percy Tau,-0.004750548,MID,Brighton and Hove Albion,1,Southampton,5,FALSE,Tau,2021
Stefan Johansen,-0.005534441,MID,Fulham,0,Manchester City,4.7,TRUE,Johansen,2021
Daniel Castelo Podence,-0.005657848,MID,Wolverhampton Wanderers,0.25,Liverpool,5.3,TRUE,Podence,2021
Felipe Anderson Pereira Gomes,-0.005862254,MID,West Ham United,0,Manchester United,6.1,FALSE,Felipe Anderson,2021
Tom Cairney,-0.006166684,MID,Fulham,0,Manchester City,5.2,TRUE,Cairney,2021
Sofiane Boufal,-0.006166684,MID,Southampton,0,Brighton and Hove Albion,5.4,TRUE,Boufal,2021
Anthony Knockaert,-0.006166684,MID,Fulham,0,Manchester City,5,TRUE,Knockaert,2021
Lucas Torreira,-0.006166684,MID,Arsenal,0,Tottenham Hotspur,4.7,TRUE,Torreira,2021
Sean Longstaff,-0.006166684,MID,Newcastle United,1,Aston Villa,4.7,TRUE,Sean Longstaff,2021
Demarai Gray,-0.006166684,MID,Leicester City,0,Sheffield United,5.1,TRUE,Gray,2021
Christian Atsu,-0.006166684,MID,Newcastle United,0,Aston Villa,5.2,TRUE,Atsu,2021
Fabian Delph,-0.006166684,MID,Everton,0.25,Burnley,4.8,TRUE,Delph,2021
Felix Nmecha,-0.008243466,MID,Manchester City,1,Fulham,4.5,FALSE,Nmecha,2021
Cole Palmer,-0.008243466,MID,Manchester City,1,Fulham,4.4,FALSE,Palmer,2021
AdriÃ¡n BernabÃ©,-0.008243466,MID,Manchester City,1,Fulham,4.5,FALSE,BernabÃ©,2021
Zak Brunt,-0.008243466,MID,Sheffield United,1,Leicester City,4.5,FALSE,Brunt,2021
Iliman Ndiaye,-0.008243466,MID,Sheffield United,1,Leicester City,4.5,FALSE,Ndiaye,2021
Luke Freeman,-0.008243466,MID,Sheffield United,0,Leicester City,5,FALSE,Freeman,2021
Billy Gilmour,-0.008243466,MID,Chelsea,1,Leeds,4.4,FALSE,Gilmour,2021
Faustino Anjorin,-0.008243466,MID,Chelsea,1,Leeds,4.5,FALSE,Anjorin,2021
SaÃ¯d Benrahma,-0.008243466,MID,West Ham United,1,Manchester United,6,FALSE,Benrahma,2021
Alfie Devine,-0.008243466,MID,Tottenham Hotspur,1,Arsenal,4.4,FALSE,Devine,2021
Pierre-Emile HÃ¸jbjerg,-0.008243466,MID,Tottenham Hotspur,1,Arsenal,4.9,FALSE,HÃ¸jbjerg,2021
Ilkay GÃ¼ndogan,-0.008243466,MID,Manchester City,1,Fulham,6.2,FALSE,GÃ¼ndogan,2021
Mace Goodridge,-0.008243466,MID,Burnley,0,Everton,4.5,FALSE,Goodridge,2021
Kaine Hayden,-0.008243466,MID,Aston Villa,1,Newcastle United,4.5,FALSE,Hayden,2021
Sadio ManÃ©,-0.008243466,MID,Liverpool,1,Wolverhampton Wanderers,11.8,FALSE,ManÃ©,2021
JosÃ© Ignacio Peleteiro Romallo,-0.008243466,MID,Aston Villa,0,Newcastle United,5.9,FALSE,Jota,2021
Bertrand TraorÃ©,-0.008243466,MID,Aston Villa,1,Newcastle United,5.9,FALSE,TraorÃ©,2021
Teddy Jenks,-0.008243466,MID,Brighton and Hove Albion,1,Southampton,4.5,FALSE,Jenks,2021
Rekeem Harper,-0.008243466,MID,West Bromwich Albion,0,Crystal Palace,4.3,FALSE,Harper,2021
Jaden Philogene-Bidace,-0.008243466,MID,Aston Villa,1,Newcastle United,4.5,FALSE,Philogene-Bidace,2021
Ryan Finnigan,-0.008547895,MID,Southampton,1,Brighton and Hove Albion,4.5,TRUE,Finnigan,2021
Rolando Aarons,-0.008547895,MID,Newcastle United,0,Aston Villa,4.8,TRUE,Aarons,2021
Shane Flynn,-0.008547895,MID,Leicester City,1,Sheffield United,4.5,TRUE,Flynn,2021
Josh Sims,-0.008547895,MID,Southampton,0,Brighton and Hove Albion,4.3,TRUE,Sims,2021
Facundo Pellistri,-0.008547895,MID,Manchester United,0,West Ham United,5.2,TRUE,Pellistri,2021
William Smallbone,-0.008547895,MID,Southampton,0,Brighton and Hove Albion,4.4,TRUE,Smallbone,2021
Miguel AlmirÃ³n,-0.008547895,MID,Newcastle United,0,Aston Villa,5.6,TRUE,AlmirÃ³n,2021
Mesut Ã–zil,-0.008547895,MID,Arsenal,0,Tottenham Hotspur,6.7,TRUE,Ã–zil,2021
Will Ferry,-0.008547895,MID,Southampton,1,Brighton and Hove Albion,4.5,TRUE,Ferry,2021
Kgaogelo Chauke,-0.008547895,MID,Southampton,1,Brighton and Hove Albion,4.4,TRUE,Chauke,2021
Thakgalo Leshabela,-0.008547895,MID,Leicester City,1,Sheffield United,4.4,TRUE,Leshabela,2021
Amad Diallo,-0.008547895,MID,Manchester United,1,West Ham United,5.4,TRUE,Diallo,2021
Adrien Silva,-0.008547895,MID,Leicester City,0,Sheffield United,4.4,TRUE,Silva,2021
Bruno AndrÃ© Cavaco Jordao,-0.008547895,MID,Wolverhampton Wanderers,0,Liverpool,4.3,TRUE,Jordao,2021
Tyler Onyango,-0.008547895,MID,Everton,1,Burnley,4.5,TRUE,Onyango,2021
Pablo HernÃ¡ndez DomÃ­nguez,-0.008547895,MID,Leeds,0,Chelsea,5.7,TRUE,HernÃ¡ndez,2021
Jean MichaÃ«l Seri,-0.008547895,MID,Fulham,0,Manchester City,4.6,TRUE,Seri,2021
Jay-Roy Grot,-0.008547895,MID,Leeds,0,Chelsea,4.7,TRUE,Grot,2021
Jordan Stevens,-0.008547895,MID,Leeds,0,Chelsea,4.3,TRUE,Stevens,2021
Mateusz Bogusz,-0.008547895,MID,Leeds,0,Chelsea,4.3,TRUE,Bogusz,2021
Jean-Philippe Gbamin,-0.008547895,MID,Everton,0,Burnley,5,TRUE,Gbamin,2021
Luke Cundle,-0.008547895,MID,Wolverhampton Wanderers,1,Liverpool,4.5,TRUE,Cundle,2021
Taylor Perry,-0.008547895,MID,Wolverhampton Wanderers,1,Liverpool,4.5,TRUE,Perry,2021
Nathan Broadhead,-0.008547895,MID,Everton,1,Burnley,4.5,TRUE,Broadhead,2021
Meritan Shabani,-0.008547895,MID,Wolverhampton Wanderers,0,Liverpool,4.4,TRUE,Shabani,2021
Anthony Gordon,-0.008547895,MID,Everton,0,Burnley,4.3,TRUE,Gordon,2021
Jack Jenkins,-0.008547895,MID,Leeds,1,Chelsea,4.5,TRUE,Jenkins,2021
Abdoulaye DoucourÃ©,-0.008547895,MID,Everton,0,Burnley,5.2,TRUE,DoucourÃ©,2021
Theo Corbeanu,-0.008547895,MID,Wolverhampton Wanderers,1,Liverpool,4.5,TRUE,Corbeanu,2021
Juan Mata,-0.008820987,MID,Manchester United,0,West Ham United,5.8,TRUE,Mata,2021
Matteo Guendouzi,-0.009235363,MID,Arsenal,0,Tottenham Hotspur,4.7,TRUE,Guendouzi,2021
Gedson Carvalho Fernandes,-0.010101903,MID,Tottenham Hotspur,0,Arsenal,4.7,FALSE,Fernandes,2021
Jayson Molumby,-0.010101903,MID,Brighton and Hove Albion,0,Southampton,4.5,FALSE,Molumby,2021
Jonathan Leko,-0.010101903,MID,West Bromwich Albion,0,Crystal Palace,4.5,FALSE,Leko,2021
Alexandre Jankewitz,-0.018056478,MID,Southampton,1,Brighton and Hove Albion,4.5,TRUE,Jankewitz,2021
Ian Carlo Poveda-Ocampo,-0.0183742,MID,Leeds,1,Chelsea,4.2,TRUE,Poveda-Ocampo,2021
Johann Berg Gudmundsson,-0.018992731,MID,Burnley,1,Everton,5.4,FALSE,Gudmundsson,2021
Elliot Anderson,-0.01910618,MID,Newcastle United,1,Aston Villa,4.5,TRUE,Anderson,2021
Josh Onomah,-0.019156389,MID,Fulham,1,Manchester City,4.6,TRUE,Onomah,2021
Gabriel Teodoro Martinelli Silva,-0.021261718,MID,Arsenal,1,Tottenham Hotspur,4.9,TRUE,Martinelli,2021
Vitor Ferreira,-0.0215589,MID,Wolverhampton Wanderers,1,Liverpool,4.7,TRUE,Vitinha,2021
Jarrod Bowen,-0.023158956,MID,West Ham United,1,Manchester United,5.9,FALSE,Bowen,2021
Mark Noble,-0.034215916,MID,West Ham United,1,Manchester United,4.5,FALSE,Noble,2021
Shola Shoretire,-0.03781576,MID,Manchester United,1,West Ham United,4.5,TRUE,Shoretire,2021
Owen Otasowie,-0.03850198,MID,Wolverhampton Wanderers,1,Liverpool,4.5,TRUE,Otasowie,2021
Jacob Ramsey,-0.05525363,MID,Aston Villa,1,Newcastle United,4.5,FALSE,Ramsey,2021
Yves Bissouma,-0.06395901,MID,Brighton and Hove Albion,1,Southampton,4.4,FALSE,Bissouma,2021
Harry Winks,-0.06582039,MID,Tottenham Hotspur,1,Arsenal,5.1,FALSE,Winks,2021
Alexis Mac Allister,-0.067887045,MID,Brighton and Hove Albion,1,Southampton,5.3,FALSE,Mac Allister,2021
Oriol Romeu Vidal,-0.07751491,MID,Southampton,0,Brighton and Hove Albion,4.5,TRUE,Oriol Romeu,2021
James McCarthy,-0.097691275,MID,Crystal Palace,0,West Bromwich Albion,4.3,TRUE,McCarthy,2021
James McArthur,-0.110682756,MID,Crystal Palace,0,West Bromwich Albion,5.2,TRUE,McArthur,2021
Harvey Barnes,-0.12178264,MID,Leicester City,0,Sheffield United,6.8,TRUE,Barnes,2021
Bernardo Mota Veiga de Carvalho e Silva,-0.121879555,MID,Manchester City,1,Fulham,7.4,FALSE,Bernardo Silva,2021
Dale Stephens,-0.13154894,MID,Burnley,1,Everton,4.2,FALSE,Stephens,2021
Morgan Sanson,-0.13826762,MID,Aston Villa,1,Newcastle United,5.5,FALSE,Sanson,2021
Theo Walcott,-0.13888243,MID,Southampton,0,Brighton and Hove Albion,5.8,TRUE,Walcott,2021
Matt Phillips,-0.15105753,MID,West Bromwich Albion,1,Crystal Palace,5.1,FALSE,Phillips,2021
Naby Keita,-0.15645969,MID,Liverpool,1,Wolverhampton Wanderers,5.2,FALSE,Keita,2021
Okay Yokuslu,-0.19356361,MID,West Bromwich Albion,1,Crystal Palace,4.5,FALSE,Yokuslu,2021
Tomas Soucek,-0.20148735,MID,West Ham United,1,Manchester United,5.3,FALSE,Soucek,2021
Raheem Sterling,-0.22740702,MID,Manchester City,1,Fulham,11.5,FALSE,Sterling,2021
Xherdan Shaqiri,-0.24754705,MID,Liverpool,1,Wolverhampton Wanderers,6.4,FALSE,Shaqiri,2021
Allan Saint-Maximin,-0.26799414,MID,Newcastle United,0,Aston Villa,5.1,TRUE,Saint-Maximin,2021
Declan Rice,-0.2974965,MID,West Ham United,1,Manchester United,4.7,FALSE,Rice,2021
Kevin De Bruyne,-0.90455985,MID,Manchester City,1,Fulham,11.9,FALSE,De Bruyne,2021
Jesse Lingard,-0.997234,MID,West Ham United,0,Manchester United,6.1,FALSE,Lingard,2021
Mohamed Salah,-1.4159033,MID,Liverpool,1,Wolverhampton Wanderers,12.5,FALSE,Salah,2021
Jamie Vardy,11.0202265,FWD,Leicester City,1,Sheffield United,10.2,TRUE,Vardy,2021
Jordan Ayew,8.2838335,FWD,Crystal Palace,1,West Bromwich Albion,5.6,TRUE,Ayew,2021
Michail Antonio,7.1955943,FWD,West Ham United,1,Manchester United,6.6,FALSE,Antonio,2021
Dominic Calvert-Lewin,5.7618513,FWD,Everton,1,Burnley,7.7,TRUE,Calvert-Lewin,2021
Gabriel Fernando de Jesus,5.080483,FWD,Manchester City,1,Fulham,9.2,FALSE,Jesus,2021
Jay Rodriguez,5.0519857,FWD,Burnley,1,Everton,5.8,FALSE,Rodriguez,2021
Richarlison de Andrade,4.807697,FWD,Everton,1,Burnley,8,TRUE,Richarlison,2021
Patrick Bamford,4.768027,FWD,Leeds,1,Chelsea,6.8,TRUE,Bamford,2021
Divock Origi,4.020571,FWD,Liverpool,1,Wolverhampton Wanderers,5.1,FALSE,Origi,2021
Roberto Firmino,3.9451368,FWD,Liverpool,0.75,Wolverhampton Wanderers,9.1,FALSE,Firmino,2021
Che Adams,3.6112075,FWD,Southampton,1,Brighton and Hove Albion,5.8,TRUE,Adams,2021
Wesley Moraes,3.5266035,FWD,Aston Villa,0.25,Newcastle United,6,FALSE,Wesley,2021
Josh Maja,3.4573624,FWD,Fulham,1,Manchester City,5.5,TRUE,Maja,2021
Ashley Barnes,3.4063096,FWD,Burnley,0,Everton,6,FALSE,Barnes,2021
Carlos Vinicius Alves Morais,3.151481,FWD,Tottenham Hotspur,1,Arsenal,6.9,FALSE,Carlos Vinicius,2021
Dane Scarlett,3.1299574,FWD,Tottenham Hotspur,1,Arsenal,4.5,FALSE,Scarlett,2021
Karlan Grant,2.97378,FWD,West Bromwich Albion,1,Crystal Palace,5.7,FALSE,Grant,2021
Antwoine Hackford,2.7795348,FWD,Sheffield United,1,Leicester City,4.4,FALSE,Hackford,2021
Glenn Murray,2.6303494,FWD,Brighton and Hove Albion,0,Southampton,4.8,FALSE,Murray,2021
Matej Vydra,2.5709937,FWD,Burnley,1,Everton,4.8,FALSE,Vydra,2021
Anthony Martial,2.4376967,FWD,Manchester United,0.5,West Ham United,8.6,TRUE,Martial,2021
Charlie Austin,2.3942957,FWD,West Bromwich Albion,0,Crystal Palace,5.1,FALSE,Austin,2021
Joel Mumbongo,2.3536642,FWD,Burnley,1,Everton,4.5,FALSE,Mumbongo,2021
Keinan Davis,2.2208889,FWD,Aston Villa,1,Newcastle United,4.3,FALSE,Davis,2021
Alexandre Lacazette,2.1860528,FWD,Arsenal,1,Tottenham Hotspur,8.1,TRUE,Lacazette,2021
Christian Benteke,2.1539538,FWD,Crystal Palace,1,West Bromwich Albion,5.5,TRUE,Benteke,2021
Timo Werner,2.1396616,FWD,Chelsea,1,Leeds,9.2,FALSE,Werner,2021
Willian JosÃ© Da Silva,2.0669355,FWD,Wolverhampton Wanderers,1,Liverpool,6.9,TRUE,Willian JosÃ©,2021
Callum Robinson,2.0446248,FWD,West Bromwich Albion,1,Crystal Palace,5.3,FALSE,Callum Robinson,2021
Michy Batshuayi,1.8588548,FWD,Crystal Palace,1,West Bromwich Albion,5.7,TRUE,Batshuayi,2021
Dwight Gayle,1.821179,FWD,Newcastle United,1,Aston Villa,5.9,TRUE,Gayle,2021
Indiana Vassilev,1.7726582,FWD,Aston Villa,0,Newcastle United,4.3,FALSE,Vassilev,2021
Kelechi Iheanacho,1.6290753,FWD,Leicester City,1,Sheffield United,5.6,TRUE,Iheanacho,2021
Jean-Philippe Mateta,1.6158922,FWD,Crystal Palace,1,West Bromwich Albion,5.7,TRUE,Mateta,2021
Mbaye Diagne,1.5231838,FWD,West Bromwich Albion,1,Crystal Palace,6,FALSE,Diagne,2021
Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,1.5220609,FWD,Newcastle United,1,Aston Villa,5.7,TRUE,Joelinton,2021
Bobby Decordova-Reid,1.5010617,FWD,Fulham,1,Manchester City,5.3,TRUE,Decordova-Reid,2021
David McGoldrick,1.4212372,FWD,Sheffield United,1,Leicester City,5.2,FALSE,McGoldrick,2021
Liam Delap,1.3613236,FWD,Manchester City,1,Fulham,4.3,FALSE,Delap,2021
Florin Andone,1.2904809,FWD,Brighton and Hove Albion,0,Southampton,4.8,FALSE,Andone,2021
Cheikh Diaby,1.224465,FWD,West Bromwich Albion,1,Crystal Palace,4.5,FALSE,Diaby,2021
Aleksandar MitroviÄ‡,1.1882552,FWD,Fulham,1,Manchester City,5.5,TRUE,MitroviÄ‡,2021
Niall Huggins,1.1278362,FWD,Leeds,1,Chelsea,4.5,TRUE,Huggins,2021
Fabio Silva,1.105363,FWD,Wolverhampton Wanderers,1,Liverpool,5.2,TRUE,Fabio Silva,2021
Edinson Cavani,1.0517677,FWD,Manchester United,0.25,West Ham United,7.9,TRUE,Cavani,2021
Mbwana Samatta,1.0234073,FWD,Aston Villa,0,Newcastle United,5.9,FALSE,Samatta,2021
Daniel N'Lundulu,1.0202771,FWD,Southampton,1,Brighton and Hove Albion,4.5,TRUE,N'Lundulu,2021
Andy Carroll,0.99375635,FWD,Newcastle United,1,Aston Villa,5.1,TRUE,Carroll,2021
Neal Maupay,0.71571445,FWD,Brighton and Hove Albion,1,Southampton,6.1,FALSE,Maupay,2021
Joshua King,0.6635102,FWD,Everton,1,Burnley,5.3,TRUE,King,2021
Callum Wilson,0.3225125,FWD,Newcastle United,0,Aston Villa,6.5,TRUE,Wilson,2021
Rodrigo Moreno,0.13117035,FWD,Leeds,1,Chelsea,5.7,TRUE,Rodrigo,2021
Danny Ings,0.10131212,FWD,Southampton,0,Brighton and Hove Albion,8.4,TRUE,Ings,2021
Rhian Brewster,0.035849087,FWD,Sheffield United,1,Leicester City,4.4,FALSE,Brewster,2021
Shane Long,0.034319855,FWD,Southampton,0,Brighton and Hove Albion,5.1,TRUE,Long,2021
Olivier Giroud,0.029514544,FWD,Chelsea,1,Leeds,6.7,FALSE,Giroud,2021
Odion Ighalo,0.02734197,FWD,Manchester United,0,West Ham United,6.1,TRUE,Ighalo,2021
Islam Slimani,0.02734197,FWD,Leicester City,0,Sheffield United,4.9,TRUE,Slimani,2021
Moise Kean,0.02734197,FWD,Everton,0,Burnley,5.7,TRUE,Kean,2021
Connor Wickham,0.02734197,FWD,Crystal Palace,1,West Bromwich Albion,4.4,TRUE,Wickham,2021
Yoshinori Muto,0.02734197,FWD,Newcastle United,0,Aston Villa,4.8,TRUE,Muto,2021
Cenk Tosun,0.02734197,FWD,Everton,0,Burnley,6,TRUE,Tosun,2021
Michael Obafemi,0.02734197,FWD,Southampton,0,Brighton and Hove Albion,4.6,TRUE,Obafemi,2021
Joe Gelhardt,0.006874394,FWD,Leeds,1,Chelsea,4.5,TRUE,Gelhardt,2021
Leonardo Campana,0.006874394,FWD,Wolverhampton Wanderers,1,Liverpool,4.8,TRUE,Campana,2021
LÃ©o Bonatini,0.006874394,FWD,Wolverhampton Wanderers,0,Liverpool,4.8,TRUE,Bonatini,2021
RaÃºl JimÃ©nez,0.006874394,FWD,Wolverhampton Wanderers,0,Liverpool,8.1,TRUE,JimÃ©nez,2021
Ellis Simms,0.006874394,FWD,Everton,0,Burnley,4.5,TRUE,Simms,2021
Danny Welbeck,0.002884024,FWD,Brighton and Hove Albion,1,Southampton,5.5,FALSE,Welbeck,2021
Edward Nketiah,-0.001718498,FWD,Arsenal,1,Tottenham Hotspur,5.4,TRUE,Nketiah,2021
Patrick Cutrone,-0.005747626,FWD,Wolverhampton Wanderers,0,Liverpool,5.9,TRUE,Cutrone,2021
Jordan Hugill,-0.010256451,FWD,West Ham United,0,Manchester United,5.5,FALSE,Hugill,2021
Sergio AgÃ¼ero,-0.010256451,FWD,Manchester City,1,Fulham,10.3,FALSE,AgÃ¼ero,2021
Max Thompson,-0.010256451,FWD,Burnley,1,Everton,4.5,FALSE,Thompson,2021
Ademipo Odubeko,-0.010256451,FWD,West Ham United,1,Manchester United,4.5,FALSE,Odubeko,2021
Albian Ajeti,-0.010256451,FWD,West Ham United,0,Manchester United,5.5,FALSE,Ajeti,2021
SÃ©bastien Haller,-0.010256451,FWD,West Ham United,0,Manchester United,6.1,FALSE,Haller,2021
Lewis Richardson,-0.013002895,FWD,Burnley,1,Everton,4.5,FALSE,Richardson,2021
Kenneth Zohore,-0.013586208,FWD,West Bromwich Albion,0,Crystal Palace,4.8,FALSE,Zohore,2021
Lys Mousset,-0.018953498,FWD,Sheffield United,1,Leicester City,5.8,FALSE,Mousset,2021
Tammy Abraham,-0.023318848,FWD,Chelsea,0,Leeds,7.1,FALSE,Abraham,2021
Billy Sharp,-0.02450573,FWD,Sheffield United,1,Leicester City,5.5,FALSE,Sharp,2021
Andi Zeqiri,-0.039316922,FWD,Brighton and Hove Albion,1,Southampton,5,FALSE,Zeqiri,2021
Hal Robson-Kanu,-0.053999946,FWD,West Bromwich Albion,1,Crystal Palace,5.2,FALSE,Robson-Kanu,2021
Chris Wood,-0.114270836,FWD,Burnley,1,Everton,6.2,FALSE,Wood,2021
Aaron Connolly,-0.3580112,FWD,Brighton and Hove Albion,0.75,Southampton,5.2,FALSE,Connolly,2021
Oliver McBurnie,-0.5480342,FWD,Sheffield United,1,Leicester City,5.6,FALSE,McBurnie,2021
Harry Kane,-1.2024449,FWD,Tottenham Hotspur,0.75,Arsenal,11.4,FALSE,Kane,2021
Ollie Watkins,-2.380958,FWD,Aston Villa,1,Newcastle United,6.6,FALSE,Watkins,2021
